ID,X,Y
1,113.5657523,22.19464988
2,113.5652075,22.19370344
3,113.5646203,22.19268338
4,113.5645628,22.19258357
5,113.5645428,22.19256466
6,113.5645159,22.19255562
7,113.5644024,22.19260005
8,113.5640394,22.19278136
9,113.5635111,22.19304524
10,113.5622,22.19369996
11,113.5621678,22.19372896
12,113.5621685,22.19378098
13,113.5622262,22.19388231
14,113.5619967,22.19385414
15,113.5619394,22.19379135
16,113.5618778,22.19371853
17,113.5617814,22.19357633
18,113.5618882,22.19350272
19,113.5613235,22.19277118
20,113.5613578,22.19271229
21,113.5616742,22.19250587
22,113.5620089,22.19228758
23,113.562174,22.19217867
24,113.5621913,22.19215899
25,113.5622023,22.19212245
26,113.562186,22.19207463
27,113.5621507,22.19202809
28,113.5620856,22.19194221
29,113.5620002,22.19182956
30,113.561912,22.19171321
31,113.5618284,22.19160295
32,113.5617494,22.19149863
33,113.5617527,22.19129661
34,113.5617537,22.19113458
35,113.5617548,22.191038
36,113.5617405,22.19101013
37,113.5616898,22.19099957
38,113.5616912,22.19095675
39,113.561704,22.19081904
40,113.5617754,22.19046559
41,113.5618854,22.19023696
42,113.562001,22.19003677
43,113.5621244,22.18982154
44,113.5621881,22.1896762
45,113.5616621,22.18946861
46,113.5617041,22.18937573
47,113.561865,22.18944635
48,113.5619624,22.18922972
49,113.5618417,22.18919463
50,113.5618858,22.18909594
51,113.5621009,22.18917929
52,113.5626912,22.18786709
53,113.5627993,22.18762632
54,113.5628876,22.18743039
55,113.5629077,22.18737352
56,113.5628043,22.18733319
57,113.5629834,22.18693794
58,113.5636312,22.18668893
59,113.5633012,22.18593819
60,113.5630289,22.18604217
61,113.5625772,22.18586571
62,113.5625689,22.18579371
63,113.562544,22.1857392
64,113.5625081,22.18566053
65,113.5624624,22.18557175
66,113.5624294,22.18550778
67,113.5625144,22.18531802
68,113.5626596,22.18535029
69,113.562673,22.18544315
70,113.562791,22.18551267
71,113.562844,22.18549232
72,113.5628633,22.18546822
73,113.5628911,22.18543343
74,113.5630498,22.18548465
75,113.5630674,22.18543711
76,113.5630078,22.18541131
77,113.5629645,22.18539257
78,113.5629459,22.18536176
79,113.5629257,22.18532834
80,113.5628856,22.18527737
81,113.5628141,22.18521103
82,113.5627931,22.18516093
83,113.562769,22.18510365
84,113.5628047,22.18504526
85,113.5628483,22.18497377
86,113.562876,22.18492844
87,113.5629327,22.18481299
88,113.5629989,22.1846994
89,113.5630358,22.18463866
90,113.5631044,22.18455314
91,113.5631565,22.18448809
92,113.5632243,22.18440889
93,113.5632926,22.18432913
94,113.5633644,22.18424529
95,113.5633604,22.18420311
96,113.5633544,22.18413997
97,113.5633638,22.18412761
98,113.5634002,22.18407966
99,113.5634381,22.18402976
100,113.5634822,22.18399718
101,113.5635341,22.18395891
102,113.5635963,22.18390969
103,113.563638,22.18387468
104,113.5636766,22.18383891
105,113.5637427,22.18376715
106,113.5637336,22.18375367
107,113.5637156,22.18372703
108,113.563703,22.18370013
109,113.5636883,22.18368601
110,113.5636662,22.18367003
111,113.5636404,22.18365996
112,113.5633124,22.18385223
113,113.5632995,22.18382686
114,113.5632613,22.18375197
115,113.5632285,22.18368754
116,113.5631818,22.18359601
117,113.5631304,22.18348344
118,113.5630063,22.18320891
119,113.5629725,22.18313633
120,113.5629459,22.18307921
121,113.5629232,22.18303045
122,113.562941,22.18301173
123,113.5629657,22.18298211
124,113.5629918,22.1829406
125,113.5630058,22.18291108
126,113.5630208,22.182863
127,113.5630266,22.18283436
128,113.5630281,22.18280825
129,113.5630266,22.18276502
130,113.5630192,22.18272287
131,113.5630077,22.18268458
132,113.5629986,22.18266158
133,113.5629877,22.18264009
134,113.5629725,22.18261304
135,113.5629588,22.18259478
136,113.5629438,22.18257482
137,113.562922,22.18255251
138,113.562895,22.18252873
139,113.5628595,22.18250411
140,113.5628228,22.18248418
141,113.5627906,22.18247015
142,113.5627636,22.18246207
143,113.562731,22.18245412
144,113.5626989,22.18244852
145,113.5626516,22.18244587
146,113.5625602,22.18238776
147,113.5624395,22.18231109
