FID,Name,CEM_No,X,Y
143,台山街市,2041,113.5509562,22.20794088
144,新創益花園,1840,113.5389134,22.18583154
145,新發,505,113.5403195,22.20847
146,家圓賓館,1889,113.5429905,22.19819603
147,雅恒新村,419,113.5457785,22.19917798
148,11 號碼頭,105,113.5405271,22.19079745
149,聯新,1201,113.5490229,22.20382933
150,台山 (十三),579,113.5504258,22.20973622
151,江華大廈,1297,113.5430569,22.19495491
152,如意閣,106,113.5536951,22.20887022
153,恆德,1308,113.5463582,22.19931954
154,青洲坊 (9),1856,113.5475835,22.2087933
155,青洲坊 (10),1857,113.5482728,22.20897822
156,青洲坊 (6),1853,113.5491327,22.20867226
157,青洲坊 (7),1854,113.5489457,22.20796625
158,青洲坊 (5),1852,113.5485204,22.20801333
159,青洲坊 (8),1855,113.547254,22.20818845
160,保麗花園,465,113.5461976,22.19723815
161,筷子基小販,120,113.5500941,22.20562448
162,金來 (二),587,113.5449711,22.20872739
163,艾爾斯,1871,113.5393053,22.18824888
164,華寶,229,113.5435948,22.19869686
165,海擎天(2),1653,113.545871,22.20215095
166,合和,476,113.5505423,22.20386335
167,東方麗都,1603,113.5508183,22.20359745
168,媽閣塘 (二),319,113.5363534,22.18204266
169,橫圍,467,113.5433313,22.19711614
170,華蘭台,512,113.5467167,22.19742168
171,灝景峰,1393,113.5455316,22.19886142
172,海擎天(4),1655,113.5459539,22.20279378
173,海擎天(3),1654,113.545881,22.20277349
174,海擎天(1),1652,113.5460021,22.20174107
175,信和廣埸,1203,113.5469003,22.20305076
176,雅濠居,1541,113.5442941,22.1993421
177,永勝,604,113.5478119,22.20673179
178,信廉,1539,113.5453222,22.20864101
179,高士德商業中心,1442,113.5499408,22.20103684
180,大豐,382,113.5497343,22.1983968
181,主教山灣畔,1303,113.5380035,22.18677388
182,聯豐,531,113.5483373,22.20175683
183,威翠花園,1205,113.5486446,22.20407496
184,裕濠,1301,113.5514752,22.19898088
185,信譽灣畔,1538,113.545168,22.20064444
186,嘉應花園(四),1274,113.5491561,22.20689701
187,台平,194,113.5517592,22.21040802
188,金龍,97,113.5493482,22.20258586
189,茵豪薈,1618,113.5456419,22.20858659
190,中央,111,113.5443961,22.19092746
191,渡船台,50,113.5500425,22.19937474
192,海港樓,1501,113.542908,22.20068408
193,收容所,1549,113.547187,22.20680133
194,新益利廣場,1516,113.5482102,22.20165637
195,田畔新村,511,113.5467343,22.19730476
196,海擎天(5),1656,113.546635,22.20301501
197,運順(一),1315,113.547421,22.20171984
198,金灣豪庭,1565,113.5436382,22.20030307
199,聖若瑟 (台山),586,113.5503865,22.20802037
200,柏興,4,113.5500508,22.19947897
201,新城市花園,444,113.5516411,22.21088501
202,郵政宿舍,56,113.5511528,22.20260911
203,筷子基(4),857,113.547466,22.20349036
204,化地瑪,1488,113.5518127,22.20866566
205,南益,139,113.5500652,22.20293715
206,三勝新村,183,113.5508767,22.19998917
207,澳門大廈(二),1305,113.5511566,22.21151709
208, 二區警局,1436,113.5518487,22.20661737
209,豐順 (二),678,113.5359443,22.18454548
210,豐順 (一),677,113.5364014,22.18524699
211,金來閣,550,113.5495474,22.2093826
212,筷子基公屋 2,1821,113.5483441,22.20409387
213,筷子基公屋 1,1820,113.5480244,22.20445275
214,六號碼頭,400,113.5382823,22.18775062
215,麻子街,500,113.5443741,22.1989297
216,街總大廈,1552,113.5493712,22.21023677
217,福榮,520,113.54507,22.20830262
218,青洲坊 (三),1828,113.5466586,22.20842774
219,青洲坊 (四),1829,113.5465377,22.20844112
220,遠洋豪軒,1531,113.5509972,22.20013279
221,宏利,16,113.5514481,22.19854851
222,都匯,25,113.546181,22.20064473
223,筷子基(3),856,113.5464423,22.20325339
224,林茂塘污水泵,1415,113.5458051,22.20143399
225,瑞祥,802,113.5439633,22.20926932
226,亞馬喇,310,113.5536117,22.20841032
227,廿一號碼頭,634,113.5416885,22.19477725
228,立群,122,113.5418577,22.18957967
229,青洲小學,1493,113.5472969,22.2080938
230,福德 (二),487,113.5434936,22.20691962
231,青洲船塢,1508,113.544293,22.20646982
232,昌明花園 (二),633,113.5487507,22.20061226
233,廣悅華庭,1528,113.5508888,22.200524
234,群緻苑,335,113.5495531,22.20072475
235,二區警局 (1),1637,113.5521433,22.20680921
236,臨時水上街市,1824,113.5439347,22.20017732
237,福德 (一),486,113.5424871,22.20609994
238,蓮峰體育綜合體,14,113.5507835,22.20411154
239,美居 (二),811,113.5472646,22.20735701
240,台廉,304,113.55283,22.21059883
241,南光貨倉,254,113.5372854,22.18527867
242,水廠,28,113.5457408,22.2075483
243,濠江花園(一),42,113.5497639,22.21054289
244,運順(三),1317,113.5476381,22.20284839
245,金海豪苑,1455,113.5494289,22.20035523
246,青濤,1850,113.5455473,22.20758289
247,耀偉,11,113.5447987,22.19862895
248,綠洲(1),1808,113.5413512,22.20619285
249,綠洲(2),1809,113.5416906,22.20533505
250,工匠巷,320,113.5434787,22.1957434
251,六號C碼頭,1636,113.5392825,22.18895992
252,綠楊新村,854,113.5472441,22.20405092
253,大豐,243,113.5438305,22.19096278
254,華輝閣,321,113.5520087,22.19916909
255,威苑,1232,113.5493804,22.21087181
256,筷子基EF公屋(1),800,113.5449667,22.20314278
257,筷子基EF公屋(2),801,113.5450367,22.20316232
258,筷子基社會房屋區,1600,113.5445146,22.20338511
259,朗悅居 2,1602,113.5464377,22.20089829
260,翠輝閣,593,113.5528614,22.20737041
261,明尚,2048,113.5458009,22.20056662
262,鄭觀應公立學校,1285,113.5495368,22.2101816
263,利和閣,855,113.5454512,22.20354719
264,筷子基雨水泵,1548,113.5426764,22.20024834
265,筷子基社會房屋學校,1672,113.544635,22.20299685
266,泉福翡翠,1813,113.5454495,22.20120723
267,明記新村,409,113.5459576,22.19679319
268,自來水 (二),1267,113.5457414,22.2076012
269,郵政 (二),580,113.5506292,22.20240885
270,筷子基衛生中心,1467,113.5498599,22.20443265
271,殯儀館(臨時),1834,113.5517007,22.20502012
272,青洲工業大廈,585,113.5443861,22.20596558
273,工業園 D2,1284,113.5405316,22.20555091
274,工業園 D5,1896,113.5411262,22.20514521
275,勵澳 (3),2002,113.5408884,22.20604578
276,勵澳 (4),2003,113.5409155,22.20597724
277,澳門大廈(一),1304,113.5509108,22.21050453
278,社會服務綜合大樓,2044,113.5396887,22.18832337
279,運順(二),1316,113.5473598,22.20257587
280,時景,628,113.5472024,22.19930788
281,擎天,1892,113.542647,22.20231118
282,裕華,625,113.5468233,22.19686694
283,華隆,239,113.5498283,22.20252428
284,連勝,422,113.5511925,22.20153242
285,工業園 GA,2006,113.5404944,22.20738145
286,通達,144,113.5498634,22.2015196
287,跨工區水泵站 (二),1628,113.5410077,22.2097936
288,青洲海關,1682,113.5417829,22.20509032
289,建富新村,142,113.5525666,22.2107967
290,南粵批發市場 (1),1878,113.5402662,22.20761726
291,南粵批發市場 (3),1880,113.5403461,22.20741288
292,青翠花園 (二),859,113.5422968,22.20542123
293,半島 (1),1893,113.5427674,22.20305844
294,半島 (2),1894,113.5428312,22.20307679
295,關閘球場,1476,113.5525922,22.21189465
296,海運中心,475,113.5409033,22.1911712
297,晶品,1696,113.5472416,22.19660377
298,中星大廈,351,113.551116,22.20144552
299,建富新村 (二),525,113.5516164,22.21045726
300,跨工區海關,1609,113.5394577,22.20922689
301,國泰中心,1875,113.5397188,22.20648817
302,南粵批發市場 (2),1879,113.5403159,22.20748904
303,跨工區 (四),1617,113.5396555,22.2085438
304,跨工區 (一),1614,113.5395897,22.20870466
305,跨工區 (二),1615,113.5396134,22.20865007
306,跨工區 (三),1616,113.5396333,22.20859781
307,檀香山中心,890,113.5398386,22.20651552
308,勵澳 (1),2000,113.5408164,22.20622735
309,勵澳 (2),2001,113.5408431,22.2061596
310,東方海岸 (1),2074,113.5433165,22.20273458
311,東方海岸 (2),2075,113.5434202,22.20276278
312,東方海岸 (3),2076,113.5435143,22.20271061
313,東方海岸 (4),2077,113.5436364,22.20274435
314,群安,612,113.5399885,22.18789018
315,青翠花園 (一),858,113.5422089,22.20591217
316,林茂船塢,1500,113.5454495,22.20291928
317,雅華閣,78,113.5517813,22.2014341
318,天華,1868,113.5398502,22.2049202
319,營地街市,834,113.5446457,22.19089605
320,澳中,1291,113.5451005,22.19125869
321,利輝,506,113.5512813,22.1979072
322,鴻發,67,113.5473701,22.19706341
323,聖若瑟大學,1835,113.5440556,22.2070053
324,奧強,1629,113.5395105,22.20610897
325,保康,463,113.5493718,22.19784308
326,咖啡廠,1625,113.5403852,22.20427978
327,下環街市,1598,113.5401567,22.18721879
328,匯能,1699,113.5406102,22.20437192
329,永南,850,113.5478789,22.19749545
330,殯儀館,1883,113.5518945,22.20481553
331,三盞燈,7,113.5513312,22.19918075
332,跨工區水泵站,1589,113.5424783,22.20994685
333,媽閣交通樞紐 (1),2052,113.5352188,22.17990306
334,媽閣交通樞紐 (2),2053,113.5351571,22.17990308
335,媽閣交通樞紐 (3),2054,113.5350963,22.17990299
336,噢別緻,2033,113.5405867,22.18708128
337,江榮花園,5,113.5475333,22.19949261
338,廣來酒店,17,113.5519282,22.1991026
339,手肘圍,1877,113.5442377,22.19053327
340,建發新村,868,113.5376804,22.18443233
341,晉杰苑,1497,113.5504542,22.20179448
